Epoch 88 | Train Loss: 0.0497 | Val Loss: 0.2998
Epoch 89 | Train Loss: 0.0500 | Val Loss: 0.3250
Epoch 90 | Train Loss: 0.0504 | Val Loss: 0.2875
💾 Checkpoint saved: Checkpoints/fragrant-sweep-1_epoch90.pt
Epoch 91 | Train Loss: 0.0470 | Val Loss: 0.2949
Epoch 92 | Train Loss: 0.0388 | Val Loss: 0.3144
Epoch 93 | Train Loss: 0.0414 | Val Loss: 0.3066
Epoch 94 | Train Loss: 0.0416 | Val Loss: 0.2958
Epoch 95 | Train Loss: 0.0416 | Val Loss: 0.3326
Epoch 96 | Train Loss: 0.0435 | Val Loss: 0.3332
Epoch 97 | Train Loss: 0.0410 | Val Loss: 0.3068
Epoch 98 | Train Loss: 0.0399 | Val Loss: 0.3453
Epoch 99 | Train Loss: 0.0400 | Val Loss: 0.3295
Epoch 100 | Train Loss: 0.0338 | Val Loss: 0.3453
💾 Checkpoint saved: Checkpoints/fragrant-sweep-1_epoch100.pt
Epoch 101 | Train Loss: 0.0459 | Val Loss: 0.3576
Epoch 102 | Train Loss: 0.0473 | Val Loss: 0.3369
Epoch 103 | Train Loss: 0.0415 | Val Loss: 0.3794
Epoch 104 | Train Loss: 0.0663 | Val Loss: 0.3216
Epoch 105 | Train Loss: 0.0384 | Val Loss: 0.3431
Epoch 106 | Train Loss: 0.0316 | Val Loss: 0.3341
Epoch 107 | Train Loss: 0.0340 | Val Loss: 0.3344
Epoch 108 | Train Loss: 0.0365 | Val Loss: 0.3601
Epoch 109 | Train Loss: 0.0322 | Val Loss: 0.3625
Epoch 110 | Train Loss: 0.0298 | Val Loss: 0.3593
💾 Checkpoint saved: Checkpoints/fragrant-sweep-1_epoch110.pt
Epoch 111 | Train Loss: 0.0254 | Val Loss: 0.3672
Epoch 112 | Train Loss: 0.0293 | Val Loss: 0.4088
Epoch 113 | Train Loss: 0.0262 | Val Loss: 0.3235
Epoch 114 | Train Loss: 0.0248 | Val Loss: 0.3438
Epoch 115 | Train Loss: 0.0219 | Val Loss: 0.3676
Epoch 116 | Train Loss: 0.0228 | Val Loss: 0.3668
Epoch 117 | Train Loss: 0.0246 | Val Loss: 0.3823
Epoch 118 | Train Loss: 0.0276 | Val Loss: 0.3619
Epoch 119 | Train Loss: 0.0272 | Val Loss: 0.3728
Epoch 120 | Train Loss: 0.0203 | Val Loss: 0.3629
💾 Checkpoint saved: Checkpoints/fragrant-sweep-1_epoch120.pt
Epoch 121 | Train Loss: 0.0245 | Val Loss: 0.4718
Epoch 122 | Train Loss: 0.0361 | Val Loss: 0.3520
Epoch 123 | Train Loss: 0.0330 | Val Loss: 0.3565
Epoch 124 | Train Loss: 0.0229 | Val Loss: 0.3567
Epoch 125 | Train Loss: 0.0239 | Val Loss: 0.3801
