train_samples,test_accuracy_mean,test_accuracy_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std
231,76.41914191419143,0.5068272607168074,78.46405228501752,3.8342060246523504,74.33333333085555,3.492496365550631
426,78.66336633663366,0.7046288351991189,80.19607842875176,4.142872095378237,77.09999999742999,2.9816310060430795
683,83.53135313531354,1.265843772377782,83.1699346378049,3.830490407830646,83.89999999720332,2.494685709605232
851,81.83168316831683,1.2933897535864276,82.09150326529112,2.375626940843323,81.56666666394777,2.3309511648619137
1064,87.11221122112211,1.250573976786232,86.66666666383442,3.779187228940635,87.56666666374778,2.6012817352635125
1277,87.72277227722773,0.6517629590142398,88.16993463764149,2.7027546571842693,87.26666666375777,2.498394546148754
1490,88.11881188118812,0.8903418072738551,90.16339868986394,1.5819604026113145,86.03333333046555,2.7775555465733714
1702,90.66006600660066,0.5934479189993943,91.86274509503717,1.1676625006905255,89.43333333035221,1.3970869163089827
1915,91.66666666666666,0.9212395062950621,91.14379084669466,2.1371316414225365,92.19999999692666,0.7568616162381725
2128,92.31023102310232,0.8312930907508262,92.54901960481865,1.6506053964493916,92.06666666359777,1.4298407059208238
