tumor_samples,test_accuracy_mean,test_accuracy_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std
212,86.42927794263105,2.2321889045118017,0.8727722772133205,0.010791456803397303,0.8516049382505777,0.06321341296535601
425,86.52818991097922,9.749484896020743,0.9013201319983282,0.039472339650537945,0.8113580246713245,0.29099789418559147
638,90.89020771513353,1.9040090028504624,0.9021452145065652,0.015184905793562553,0.9190123456563206,0.061456741072081295
851,82.9080118694362,15.858700516374297,0.9346534653311114,0.046843247495790614,0.6711111110945405,0.46339100467185207
1064,94.73788328387735,0.9666645519497103,0.9334983498195791,0.01438685664946323,0.9681481481242432,0.015151635235833256
1276,95.58852621167162,1.399758711527538,0.9402640263871243,0.01814014359536402,0.9792592592350801,0.013483883072109895
1489,95.86547972304649,1.3696123256770416,0.9409240923937141,0.01716312651083354,0.9851851851608597,0.01008020470256257
1702,92.73986152324431,11.540125281710939,0.9523102310073878,0.01996101035492218,0.8901234567681451,0.31289200039941045
1915,96.72601384767556,0.6176170459122673,0.9518151815024453,0.007692908134987361,0.9903703703459168,0.00793289268129976
2128,88.02176063303659,20.600220556644956,0.8707920791935513,0.3064809054683154,0.8943209876322389,0.3142627828926126
