"epoch","dulcet-sweep-88 - _step","dulcet-sweep-88 - _step__MIN","dulcet-sweep-88 - _step__MAX","dulcet-sweep-88 - val_loss","dulcet-sweep-88 - val_loss__MIN","dulcet-sweep-88 - val_loss__MAX","lunar-sweep-81 - _step","lunar-sweep-81 - _step__MIN","lunar-sweep-81 - _step__MAX","lunar-sweep-81 - val_loss","lunar-sweep-81 - val_loss__MIN","lunar-sweep-81 - val_loss__MAX","young-sweep-1 - _step","young-sweep-1 - _step__MIN","young-sweep-1 - _step__MAX","young-sweep-1 - val_loss","young-sweep-1 - val_loss__MIN","young-sweep-1 - val_loss__MAX","proud-sweep-92 - _step","proud-sweep-92 - _step__MIN","proud-sweep-92 - _step__MAX","proud-sweep-92 - val_loss","proud-sweep-92 - val_loss__MIN","proud-sweep-92 - val_loss__MAX","splendid-sweep-83 - _step","splendid-sweep-83 - _step__MIN","splendid-sweep-83 - _step__MAX","splendid-sweep-83 - val_loss","splendid-sweep-83 - val_loss__MIN","splendid-sweep-83 - val_loss__MAX"
"1","0","0","0","0.4642752196107592","0.4642752196107592","0.4642752196107592","0","0","0","0.36038563932691303","0.36038563932691303","0.36038563932691303","0","0","0","0.3733241144153807","0.3733241144153807","0.3733241144153807","0","0","0","0.3376230427197048","0.3376230427197048","0.3376230427197048","0","0","0","0.35958834631102427","0.35958834631102427","0.35958834631102427"
"2","1","1","1","0.43627864122390747","0.43627864122390747","0.43627864122390747","1","1","1","0.22115230986050197","0.22115230986050197","0.22115230986050197","1","1","1","0.2526532268082654","0.2526532268082654","0.2526532268082654","1","1","1","0.218759400503976","0.218759400503976","0.218759400503976","1","1","1","0.22117001031126296","0.22117001031126296","0.22117001031126296"
"3","2","2","2","0.38521389024598257","0.38521389024598257","0.38521389024598257","2","2","2","0.2532828833375658","0.2532828833375658","0.2532828833375658","2","2","2","0.2157436342978919","0.2157436342978919","0.2157436342978919","2","2","2","0.24834008514881134","0.24834008514881134","0.24834008514881134","2","2","2","0.2557088966880526","0.2557088966880526","0.2557088966880526"
"4","3","3","3","0.28752575388976503","0.28752575388976503","0.28752575388976503","3","3","3","0.20151886556829726","0.20151886556829726","0.20151886556829726","3","3","3","0.27888332728158544","0.27888332728158544","0.27888332728158544","3","3","3","0.19497672149113246","0.19497672149113246","0.19497672149113246","3","3","3","0.2002870057310377","0.2002870057310377","0.2002870057310377"
"5","4","4","4","0.26728351414203644","0.26728351414203644","0.26728351414203644","4","4","4","0.1673710740038327","0.1673710740038327","0.1673710740038327","4","4","4","0.17704111096207742","0.17704111096207742","0.17704111096207742","4","4","4","0.16311460733413696","0.16311460733413696","0.16311460733413696","4","4","4","0.1670113897749356","0.1670113897749356","0.1670113897749356"
"6","5","5","5","0.3030164135353906","0.3030164135353906","0.3030164135353906","5","5","5","0.1508642275418554","0.1508642275418554","0.1508642275418554","5","5","5","0.15491347308098166","0.15491347308098166","0.15491347308098166","5","5","5","0.14526048941271646","0.14526048941271646","0.14526048941271646","5","5","5","0.1485470629164151","0.1485470629164151","0.1485470629164151"
"7","6","6","6","0.2038983894245965","0.2038983894245965","0.2038983894245965","6","6","6","0.14646364961351668","0.14646364961351668","0.14646364961351668","6","6","6","0.14551220541061075","0.14551220541061075","0.14551220541061075","6","6","6","0.1463036494595664","0.1463036494595664","0.1463036494595664","6","6","6","0.14230620222432272","0.14230620222432272","0.14230620222432272"
"8","7","7","7","0.1832140747989927","0.1832140747989927","0.1832140747989927","7","7","7","0.12958778334515436","0.12958778334515436","0.12958778334515436","7","7","7","0.13432381364206472","0.13432381364206472","0.13432381364206472","7","7","7","0.13752846206937516","0.13752846206937516","0.13752846206937516","7","7","7","0.12697440066507884","0.12697440066507884","0.12697440066507884"
"9","8","8","8","0.19895362641130174","0.19895362641130174","0.19895362641130174","8","8","8","0.1397265483226095","0.1397265483226095","0.1397265483226095","8","8","8","0.17203478622077792","0.17203478622077792","0.17203478622077792","8","8","8","0.14286246257168905","0.14286246257168905","0.14286246257168905","8","8","8","0.13844966462680272","0.13844966462680272","0.13844966462680272"
"10","9","9","9","0.1860796617610114","0.1860796617610114","0.1860796617610114","9","9","9","0.11802447161504201","0.11802447161504201","0.11802447161504201","9","9","9","0.19941994992809164","0.19941994992809164","0.19941994992809164","9","9","9","0.10646729171276093","0.10646729171276093","0.10646729171276093","9","9","9","0.1197864870939936","0.1197864870939936","0.1197864870939936"
"11","11","11","11","0.16627185898167746","0.16627185898167746","0.16627185898167746","11","11","11","0.11348064030919756","0.11348064030919756","0.11348064030919756","11","11","11","0.11442559119313955","0.11442559119313955","0.11442559119313955","11","11","11","0.11134902494294303","0.11134902494294303","0.11134902494294303","11","11","11","0.11236249495829854","0.11236249495829854","0.11236249495829854"
"12","12","12","12","0.15367225131818227","0.15367225131818227","0.15367225131818227","12","12","12","0.10522376213754926","0.10522376213754926","0.10522376213754926","12","12","12","0.10478154424991873","0.10478154424991873","0.10478154424991873","12","12","12","0.10259676192487989","0.10259676192487989","0.10259676192487989","12","12","12","0.10484457973923002","0.10484457973923002","0.10484457973923002"
"13","13","13","13","0.15777791717222758","0.15777791717222758","0.15777791717222758","13","13","13","0.10645080889974322","0.10645080889974322","0.10645080889974322","13","13","13","0.0986767017317039","0.0986767017317039","0.0986767017317039","13","13","13","0.09836753564221519","0.09836753564221519","0.09836753564221519","13","13","13","0.11862160904066903","0.11862160904066903","0.11862160904066903"
"14","14","14","14","0.1702298234616007","0.1702298234616007","0.1702298234616007","14","14","14","0.13031140927757537","0.13031140927757537","0.13031140927757537","14","14","14","0.0974887504276854","0.0974887504276854","0.0974887504276854","14","14","14","0.12423769810370036","0.12423769810370036","0.12423769810370036","14","14","14","0.15731006754296167","0.15731006754296167","0.15731006754296167"
"15","15","15","15","0.1421626859477588","0.1421626859477588","0.1421626859477588","15","15","15","0.10301505933914866","0.10301505933914866","0.10301505933914866","15","15","15","0.09260534502660718","0.09260534502660718","0.09260534502660718","15","15","15","0.08921673308525767","0.08921673308525767","0.08921673308525767","15","15","15","0.1076704135962895","0.1076704135962895","0.1076704135962895"
"16","16","16","16","0.14360144947256362","0.14360144947256362","0.14360144947256362","16","16","16","0.08777511652026858","0.08777511652026858","0.08777511652026858","16","16","16","0.09039582707056845","0.09039582707056845","0.09039582707056845","16","16","16","0.10240080473678452","0.10240080473678452","0.10240080473678452","16","16","16","0.09334270656108856","0.09334270656108856","0.09334270656108856"
"17","17","17","17","0.15139913346086228","0.15139913346086228","0.15139913346086228","17","17","17","0.10593834519386292","0.10593834519386292","0.10593834519386292","17","17","17","0.08481264903848232","0.08481264903848232","0.08481264903848232","17","17","17","0.09372724379811968","0.09372724379811968","0.09372724379811968","17","17","17","0.09339835973722595","0.09339835973722595","0.09339835973722595"
