run_id,name,test_accuracy,test_sensitivity,test_specificity,val_accuracy,tumor_samples,batch_size,learning_rate,epochs
x9f3wm92,trainpercent_0.9_run_8,96.0435212660732,0.947194719456317,0.9802469135560432,98.35487661574618,1915,128,0.005,1000
x3ics2v4,trainpercent_0.8_run_8,95.64787339268052,0.9290429042750984,0.9975308641729004,98.2373678025852,1702,128,0.005,1000
x83uyd9b,trainpercent_0.7_run_8,92.77942631058356,0.904290429027982,0.962962962939186,97.41480611045829,1489,128,0.005,1000
9k7tmwfx,trainpercent_0.6_run_8,92.77942631058356,0.9075907590609308,0.9580246913343696,97.76733254994124,1276,128,0.005,1000
r8jmtfl9,trainpercent_0.5_run_8,95.351137487636,0.9389438943739448,0.9753086419512268,97.76733254994124,1064,128,0.005,1000
uzhzbhte,trainpercent_0.4_run_8,93.27398615232444,0.9059405940444564,0.9728395061488188,97.76733254994124,851,128,0.005,1000
6x05eom1,trainpercent_0.3_run_8,89.41641938674579,0.9092409240774052,0.8716049382500838,97.53231492361928,638,128,0.005,1000
hhkjf6pr,trainpercent_0.2_run_8,88.82294757665677,0.8894389438797122,0.8864197530645328,96.00470035252644,425,128,0.005,1000
ihd2d27o,trainpercent_0.1_run_8,88.52621167161226,0.8646864686325959,0.9160493826934308,95.18213866039952,212,128,0.005,1000
3b5vwf9v,trainpercent_1_run_9,97.23046488625124,0.9587458745716378,0.992592592568084,96.94477085781432,2128,128,0.005,1000
xg29b7so,trainpercent_0.9_run_9,97.03264094955487,0.9521452145057402,0.9975308641729004,98.58989424206815,1915,128,0.005,1000
jzqnu60a,trainpercent_0.8_run_9,96.3402571711177,0.9504950494892658,0.9827160493584516,98.2373678025852,1702,128,0.005,1000
b8fnua04,trainpercent_0.7_run_9,95.74678536102869,0.9405940593904192,0.9827160493584516,98.47238542890716,1489,128,0.005,1000
ha2bvk1y,trainpercent_0.6_run_9,95.45004945598416,0.9339933993245216,0.9851851851608596,98.1198589894242,1276,128,0.005,1000
9g5xxgw9,trainpercent_0.5_run_9,94.26310583580614,0.9455445544398424,0.9382716049151044,97.88484136310224,1064,128,0.005,1000
vwgygb2i,trainpercent_0.4_run_9,92.08704253214638,0.8943894389291355,0.960493827136778,97.06227967097531,851,128,0.005,1000
ac2qrpod,trainpercent_0.3_run_9,93.86745796241344,0.9108910890938796,0.9802469135560432,96.82726204465337,638,128,0.005,1000
o1t2th1g,trainpercent_0.2_run_9,83.87734915924827,0.8564356435502238,0.8123456789922877,95.53466509988247,425,128,0.005,1000
gm8gnbxj,trainpercent_0.1_run_9,88.4272997032641,0.8712871286984936,0.90370370368139,92.8319623971798,212,128,0.005,1000
majm8s4z,trainpercent_1_run_10,98.51632047477746,0.975247524736382,0.9999999999753086,98.47238542890716,2128,128,0.005,1000
nejxc00v,trainpercent_0.9_run_10,97.03264094955487,0.9587458745716378,0.9876543209632678,98.35487661574618,1915,128,0.005,1000
n2n33g8q,trainpercent_0.8_run_10,96.7359050445104,0.9620462046045868,0.9753086419512268,98.35487661574618,1702,128,0.005,1000
oe6im9ay,trainpercent_0.7_run_10,97.3293768545994,0.9603960395881124,0.992592592568084,98.00235017626322,1489,128,0.005,1000
7iop86jp,trainpercent_0.6_run_10,94.55984174085064,0.9191419141762518,0.9851851851608596,97.64982373678026,1276,128,0.005,1000
yczbrr7x,trainpercent_0.5_run_10,93.07616221562807,0.9108910890938796,0.960493827136778,98.00235017626322,1064,128,0.005,1000
ucc98v44,trainpercent_0.4_run_10,93.3728981206726,0.9108910890938796,0.9679012345440025,97.17978848413632,851,128,0.005,1000
4odxvy6q,trainpercent_0.3_run_10,91.19683481701286,0.8976897689620843,0.933333333310288,96.94477085781432,638,128,0.005,1000
yi0dalzx,trainpercent_0.2_run_10,88.82294757665677,0.8960396039456099,0.8765432098549002,95.53466509988247,425,128,0.005,1000
g2z7zcly,trainpercent_0.1_run_10,87.24035608308606,0.884488448830289,0.8543209876332266,96.3572267920094,212,128,0.005,1000
