run_id,name,test_accuracy,test_sensitivity,test_specificity,val_accuracy,train_samples,batch_size,learning_rate,epochs
zr8dsy8c,trainsample_3404_run_1,97.52720079129574,96.20462046045868,99.50617283704925,9659.224441833137,3404,128,0.005,1000
be9h1rl7,trainsample_3064_run_1,96.24134520276954,95.5445544538689,97.28395061488187,9553.466509988248,3064,128,0.005,1000
thpq3kgt,trainsample_2723_run_1,94.16419386745795,92.24422442092006,97.03703703464106,9647.473560517039,2723,128,0.005,1000
larzktqw,trainsample_2383_run_1,94.85657764589516,93.72937293574704,96.54320987415944,9600.470035252643,2383,128,0.005,1000
ej21pkk8,trainsample_2042_run_1,96.93372898120673,95.70957095551634,98.76543209632678,9706.227967097531,2042,128,0.005,1000
d0xmjyha,trainsample_1702_run_1,92.97725024727993,90.26402640115077,97.03703703464106,9494.712103407755,1702,128,0.005,1000
esscca6l,trainsample_1362_run_1,93.57072205736894,91.58415841433029,96.54320987415944,9588.719153936547,1362,128,0.005,1000
hqwwx7jq,trainsample_1021_run_1,90.80118694362018,87.12871286984935,96.2962962939186,9482.961222091655,1021,128,0.005,1000
n6abohk6,trainsample_681_run_1,88.72403560830861,87.2937293714968,90.86419752862064,9365.45240893067,681,128,0.005,1000
ltpgv9xu,trainsample_340_run_1,85.65776458951532,85.47854785337495,85.92592592380429,9024.676850763808,340,128,0.005,1000
hkn2uruh,trainsample_3404_run_2,94.85657764589516,93.56435643409961,96.79012345440024,9600.470035252643,3404,128,0.005,1000
dn40nox1,trainsample_3064_run_2,96.43916913946587,95.21452145057403,98.27160493584516,9670.975323149236,3064,128,0.005,1000
9s4xapyw,trainsample_2723_run_2,91.69139465875372,92.73927392586239,90.12345678789818,9600.470035252643,2723,128,0.005,1000
k0mmkhnc,trainsample_2383_run_2,93.47181008902076,90.75907590609307,97.53086419512267,9612.220916568742,2383,128,0.005,1000
oz47le51,trainsample_2042_run_2,94.3620178041543,92.73927392586239,96.79012345440024,9717.978848413632,2042,128,0.005,1000
thamgv7z,trainsample_1702_run_2,92.18595450049456,88.94389438797123,97.03703703464106,9623.971797884842,1702,128,0.005,1000
bh710qkw,trainsample_1362_run_2,94.75766567754698,94.22442244068935,95.55555555319616,9494.712103407755,1362,128,0.005,1000
fibb6hxc,trainsample_1021_run_2,89.7131552917903,88.94389438797123,90.86419752862064,9529.964747356053,1021,128,0.005,1000
7snjgt55,trainsample_681_run_2,88.62512363996044,89.2739273912661,87.65432098549002,9482.961222091655,681,128,0.005,1000
yxd62wlh,trainsample_340_run_2,86.35014836795251,85.80858085666982,87.16049382500837,9200.940070505289,340,128,0.005,1000
yzb39ctt,trainsample_3404_run_3,97.92284866468842,96.53465346375356,99.99999999753086,9764.982373678027,3404,128,0.005,1000
4b0hufv5,trainsample_3064_run_3,91.88921859545005,90.09900989950333,94.56790123223287,9612.220916568742,3064,128,0.005,1000
6mamgapn,trainsample_2723_run_3,92.28486646884274,91.74917491597773,93.086419750788,9600.470035252643,2723,128,0.005,1000
rg040m58,trainsample_2383_run_3,93.76854599406528,91.2541254110354,97.53086419512267,9588.719153936547,2383,128,0.005,1000
00mzdmms,trainsample_2042_run_3,94.26310583580614,93.89438943739448,94.8148148124737,9694.477085781433,2042,128,0.005,1000
fe1kw03x,trainsample_1702_run_3,92.97725024727993,90.59405940444563,96.54320987415944,9471.210340775559,1702,128,0.005,1000
6o6q08oa,trainsample_1362_run_3,92.58160237388724,91.08910890938796,94.8148148124737,9518.213866039952,1362,128,0.005,1000
z7vw47ww,trainsample_1021_run_3,90.60336300692384,89.76897689620843,91.8518518495839,9435.957696827261,1021,128,0.005,1000
