Epoch 28 | Train Loss: 0.3858 | Val Loss: 0.3885 | Val Acc: 85.53% | Sens: 0.93 | Spec: 0.79 | AUC: 0.93 | ✅ Correct: 455 | ❌ Incorrect: 77 | 📦 Total: 532
Epoch 29 | Train Loss: 0.3670 | Val Loss: 0.3678 | Val Acc: 84.40% | Sens: 0.90 | Spec: 0.79 | AUC: 0.93 | ✅ Correct: 449 | ❌ Incorrect: 83 | 📦 Total: 532
Epoch 30 | Train Loss: 0.3563 | Val Loss: 0.3533 | Val Acc: 84.96% | Sens: 0.84 | Spec: 0.86 | AUC: 0.93 | ✅ Correct: 452 | ❌ Incorrect: 80 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/apricot-sweep-83/checkpoint_epoch_030.pt
Epoch 31 | Train Loss: 0.3607 | Val Loss: 0.3549 | Val Acc: 86.09% | Sens: 0.82 | Spec: 0.90 | AUC: 0.94 | ✅ Correct: 458 | ❌ Incorrect: 74 | 📦 Total: 532
Epoch 32 | Train Loss: 0.3385 | Val Loss: 0.3515 | Val Acc: 86.09% | Sens: 0.90 | Spec: 0.82 | AUC: 0.94 | ✅ Correct: 458 | ❌ Incorrect: 74 | 📦 Total: 532
Epoch 33 | Train Loss: 0.3253 | Val Loss: 0.3828 | Val Acc: 83.27% | Sens: 0.73 | Spec: 0.93 | AUC: 0.93 | ✅ Correct: 443 | ❌ Incorrect: 89 | 📦 Total: 532
Epoch 34 | Train Loss: 0.3772 | Val Loss: 0.3661 | Val Acc: 83.08% | Sens: 0.75 | Spec: 0.91 | AUC: 0.94 | ✅ Correct: 442 | ❌ Incorrect: 90 | 📦 Total: 532
Epoch 35 | Train Loss: 0.3714 | Val Loss: 0.3604 | Val Acc: 87.22% | Sens: 0.95 | Spec: 0.80 | AUC: 0.94 | ✅ Correct: 464 | ❌ Incorrect: 68 | 📦 Total: 532
Epoch 36 | Train Loss: 0.3655 | Val Loss: 0.3573 | Val Acc: 84.77% | Sens: 0.79 | Spec: 0.90 | AUC: 0.94 | ✅ Correct: 451 | ❌ Incorrect: 81 | 📦 Total: 532
Epoch 37 | Train Loss: 0.3383 | Val Loss: 0.3441 | Val Acc: 86.09% | Sens: 0.83 | Spec: 0.89 | AUC: 0.94 | ✅ Correct: 458 | ❌ Incorrect: 74 | 📦 Total: 532
Epoch 38 | Train Loss: 0.3456 | Val Loss: 0.3851 | Val Acc: 84.96% | Sens: 0.95 | Spec: 0.76 | AUC: 0.94 | ✅ Correct: 452 | ❌ Incorrect: 80 | 📦 Total: 532
