Epoch 28 | Train Loss: 0.3371 | Val Loss: 0.3775 | Val Acc: 85.34% | Sens: 0.87 | Spec: 0.83 | AUC: 0.93 | ✅ Correct: 454 | ❌ Incorrect: 78 | 📦 Total: 532
Epoch 29 | Train Loss: 0.3313 | Val Loss: 0.3797 | Val Acc: 85.15% | Sens: 0.89 | Spec: 0.81 | AUC: 0.93 | ✅ Correct: 453 | ❌ Incorrect: 79 | 📦 Total: 532
Epoch 30 | Train Loss: 0.3256 | Val Loss: 0.3728 | Val Acc: 84.59% | Sens: 0.85 | Spec: 0.84 | AUC: 0.93 | ✅ Correct: 450 | ❌ Incorrect: 82 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/brisk-sweep-76/checkpoint_epoch_030.pt
Epoch 31 | Train Loss: 0.3211 | Val Loss: 0.3659 | Val Acc: 85.53% | Sens: 0.84 | Spec: 0.87 | AUC: 0.93 | ✅ Correct: 455 | ❌ Incorrect: 77 | 📦 Total: 532
Epoch 32 | Train Loss: 0.3234 | Val Loss: 0.3619 | Val Acc: 85.15% | Sens: 0.81 | Spec: 0.89 | AUC: 0.93 | ✅ Correct: 453 | ❌ Incorrect: 79 | 📦 Total: 532
Epoch 33 | Train Loss: 0.3189 | Val Loss: 0.3579 | Val Acc: 85.15% | Sens: 0.83 | Spec: 0.87 | AUC: 0.93 | ✅ Correct: 453 | ❌ Incorrect: 79 | 📦 Total: 532
Epoch 34 | Train Loss: 0.3135 | Val Loss: 0.3693 | Val Acc: 84.21% | Sens: 0.76 | Spec: 0.92 | AUC: 0.93 | ✅ Correct: 448 | ❌ Incorrect: 84 | 📦 Total: 532
Epoch 35 | Train Loss: 0.3193 | Val Loss: 0.3721 | Val Acc: 85.53% | Sens: 0.91 | Spec: 0.80 | AUC: 0.93 | ✅ Correct: 455 | ❌ Incorrect: 77 | 📦 Total: 532
Epoch 36 | Train Loss: 0.3025 | Val Loss: 0.3619 | Val Acc: 85.34% | Sens: 0.78 | Spec: 0.92 | AUC: 0.94 | ✅ Correct: 454 | ❌ Incorrect: 78 | 📦 Total: 532
Epoch 37 | Train Loss: 0.2999 | Val Loss: 0.3643 | Val Acc: 86.47% | Sens: 0.90 | Spec: 0.83 | AUC: 0.94 | ✅ Correct: 460 | ❌ Incorrect: 72 | 📦 Total: 532
Epoch 38 | Train Loss: 0.3071 | Val Loss: 0.3505 | Val Acc: 86.84% | Sens: 0.84 | Spec: 0.89 | AUC: 0.94 | ✅ Correct: 462 | ❌ Incorrect: 70 | 📦 Total: 532
Epoch 39 | Train Loss: 0.3115 | Val Loss: 0.3505 | Val Acc: 86.47% | Sens: 0.82 | Spec: 0.90 | AUC: 0.94 | ✅ Correct: 460 | ❌ Incorrect: 72 | 📦 Total: 532
Epoch 40 | Train Loss: 0.2910 | Val Loss: 0.3471 | Val Acc: 87.41% | Sens: 0.85 | Spec: 0.89 | AUC: 0.94 | ✅ Correct: 465 | ❌ Incorrect: 67 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/brisk-sweep-76/checkpoint_epoch_040.pt
Epoch 41 | Train Loss: 0.2894 | Val Loss: 0.3496 | Val Acc: 87.22% | Sens: 0.88 | Spec: 0.87 | AUC: 0.94 | ✅ Correct: 464 | ❌ Incorrect: 68 | 📦 Total: 532
Epoch 42 | Train Loss: 0.2931 | Val Loss: 0.3474 | Val Acc: 87.78% | Sens: 0.87 | Spec: 0.88 | AUC: 0.94 | ✅ Correct: 467 | ❌ Incorrect: 65 | 📦 Total: 532
Epoch 43 | Train Loss: 0.2696 | Val Loss: 0.3458 | Val Acc: 87.03% | Sens: 0.84 | Spec: 0.90 | AUC: 0.94 | ✅ Correct: 463 | ❌ Incorrect: 69 | 📦 Total: 532
Epoch 44 | Train Loss: 0.2779 | Val Loss: 0.3430 | Val Acc: 87.03% | Sens: 0.83 | Spec: 0.91 | AUC: 0.94 | ✅ Correct: 463 | ❌ Incorrect: 69 | 📦 Total: 532
Epoch 45 | Train Loss: 0.2885 | Val Loss: 0.3750 | Val Acc: 86.47% | Sens: 0.93 | Spec: 0.80 | AUC: 0.94 | ✅ Correct: 460 | ❌ Incorrect: 72 | 📦 Total: 532
Epoch 46 | Train Loss: 0.2807 | Val Loss: 0.3379 | Val Acc: 87.97% | Sens: 0.86 | Spec: 0.90 | AUC: 0.94 | ✅ Correct: 468 | ❌ Incorrect: 64 | 📦 Total: 532
Epoch 47 | Train Loss: 0.2670 | Val Loss: 0.3423 | Val Acc: 87.78% | Sens: 0.88 | Spec: 0.88 | AUC: 0.94 | ✅ Correct: 467 | ❌ Incorrect: 65 | 📦 Total: 532
Epoch 48 | Train Loss: 0.2696 | Val Loss: 0.3567 | Val Acc: 87.03% | Sens: 0.92 | Spec: 0.83 | AUC: 0.94 | ✅ Correct: 463 | ❌ Incorrect: 69 | 📦 Total: 532
Epoch 49 | Train Loss: 0.2549 | Val Loss: 0.3368 | Val Acc: 87.59% | Sens: 0.85 | Spec: 0.90 | AUC: 0.94 | ✅ Correct: 466 | ❌ Incorrect: 66 | 📦 Total: 532
Epoch 50 | Train Loss: 0.2536 | Val Loss: 0.3715 | Val Acc: 86.28% | Sens: 0.92 | Spec: 0.80 | AUC: 0.94 | ✅ Correct: 459 | ❌ Incorrect: 73 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/brisk-sweep-76/checkpoint_epoch_050.pt
Epoch 51 | Train Loss: 0.2559 | Val Loss: 0.3358 | Val Acc: 87.59% | Sens: 0.85 | Spec: 0.90 | AUC: 0.94 | ✅ Correct: 466 | ❌ Incorrect: 66 | 📦 Total: 532
Epoch 52 | Train Loss: 0.2572 | Val Loss: 0.3461 | Val Acc: 86.65% | Sens: 0.89 | Spec: 0.85 | AUC: 0.94 | ✅ Correct: 461 | ❌ Incorrect: 71 | 📦 Total: 532
Epoch 53 | Train Loss: 0.2358 | Val Loss: 0.3364 | Val Acc: 87.78% | Sens: 0.85 | Spec: 0.91 | AUC: 0.95 | ✅ Correct: 467 | ❌ Incorrect: 65 | 📦 Total: 532
Epoch 54 | Train Loss: 0.2388 | Val Loss: 0.3354 | Val Acc: 87.41% | Sens: 0.86 | Spec: 0.89 | AUC: 0.95 | ✅ Correct: 465 | ❌ Incorrect: 67 | 📦 Total: 532
Epoch 55 | Train Loss: 0.2435 | Val Loss: 0.3526 | Val Acc: 87.22% | Sens: 0.90 | Spec: 0.84 | AUC: 0.95 | ✅ Correct: 464 | ❌ Incorrect: 68 | 📦 Total: 532
Epoch 56 | Train Loss: 0.2425 | Val Loss: 0.3426 | Val Acc: 87.22% | Sens: 0.90 | Spec: 0.85 | AUC: 0.95 | ✅ Correct: 464 | ❌ Incorrect: 68 | 📦 Total: 532
Epoch 57 | Train Loss: 0.2417 | Val Loss: 0.3908 | Val Acc: 86.47% | Sens: 0.95 | Spec: 0.78 | AUC: 0.95 | ✅ Correct: 460 | ❌ Incorrect: 72 | 📦 Total: 532
