Epoch 89 | Train Loss: 0.1367 | Val Loss: 0.3375
Epoch 90 | Train Loss: 0.1405 | Val Loss: 0.2729
💾 Checkpoint saved: Checkpoints/valiant-sweep-3_epoch90.pt
Epoch 91 | Train Loss: 0.1229 | Val Loss: 0.2761
Epoch 92 | Train Loss: 0.1220 | Val Loss: 0.2749
Epoch 93 | Train Loss: 0.1272 | Val Loss: 0.2836
Epoch 94 | Train Loss: 0.1251 | Val Loss: 0.2899
Epoch 95 | Train Loss: 0.1210 | Val Loss: 0.2729
Epoch 96 | Train Loss: 0.1156 | Val Loss: 0.3216
Epoch 97 | Train Loss: 0.1246 | Val Loss: 0.2704
Epoch 98 | Train Loss: 0.1093 | Val Loss: 0.2767
Epoch 99 | Train Loss: 0.1225 | Val Loss: 0.3007
Epoch 100 | Train Loss: 0.1088 | Val Loss: 0.2773
💾 Checkpoint saved: Checkpoints/valiant-sweep-3_epoch100.pt
Epoch 101 | Train Loss: 0.1148 | Val Loss: 0.2798
Epoch 102 | Train Loss: 0.1059 | Val Loss: 0.2781
Epoch 103 | Train Loss: 0.1131 | Val Loss: 0.3057
Epoch 104 | Train Loss: 0.1112 | Val Loss: 0.2744
Epoch 105 | Train Loss: 0.0976 | Val Loss: 0.2731
Epoch 106 | Train Loss: 0.0979 | Val Loss: 0.2939
Epoch 107 | Train Loss: 0.1132 | Val Loss: 0.2746
Epoch 108 | Train Loss: 0.1221 | Val Loss: 0.3000
Epoch 109 | Train Loss: 0.1057 | Val Loss: 0.2819
Epoch 110 | Train Loss: 0.0981 | Val Loss: 0.2739
💾 Checkpoint saved: Checkpoints/valiant-sweep-3_epoch110.pt
Epoch 111 | Train Loss: 0.0903 | Val Loss: 0.2788
Epoch 112 | Train Loss: 0.1000 | Val Loss: 0.2874
Epoch 113 | Train Loss: 0.0986 | Val Loss: 0.2780
Epoch 114 | Train Loss: 0.1042 | Val Loss: 0.2777
Epoch 115 | Train Loss: 0.0888 | Val Loss: 0.3041
Epoch 116 | Train Loss: 0.0829 | Val Loss: 0.3020
Epoch 117 | Train Loss: 0.0910 | Val Loss: 0.2818
Epoch 118 | Train Loss: 0.0843 | Val Loss: 0.2989
Epoch 119 | Train Loss: 0.0886 | Val Loss: 0.2881
Epoch 120 | Train Loss: 0.0880 | Val Loss: 0.2840
💾 Checkpoint saved: Checkpoints/valiant-sweep-3_epoch120.pt
Epoch 121 | Train Loss: 0.0891 | Val Loss: 0.2941
Epoch 122 | Train Loss: 0.0833 | Val Loss: 0.2927
Epoch 123 | Train Loss: 0.0780 | Val Loss: 0.2840
Epoch 124 | Train Loss: 0.0627 | Val Loss: 0.2931
Epoch 125 | Train Loss: 0.0764 | Val Loss: 0.2861
Epoch 126 | Train Loss: 0.0716 | Val Loss: 0.3048
Epoch 127 | Train Loss: 0.0716 | Val Loss: 0.3030
Epoch 128 | Train Loss: 0.0713 | Val Loss: 0.3091
Epoch 129 | Train Loss: 0.0695 | Val Loss: 0.3020
Epoch 130 | Train Loss: 0.0624 | Val Loss: 0.3007
💾 Checkpoint saved: Checkpoints/valiant-sweep-3_epoch130.pt
