Epoch 89 | Train Loss: 0.0961 | Val Loss: 0.3786
Epoch 90 | Train Loss: 0.0952 | Val Loss: 0.3803
💾 Checkpoint saved: Checkpoints/trim-sweep-4_epoch90.pt
Epoch 91 | Train Loss: 0.0997 | Val Loss: 0.3208
Epoch 92 | Train Loss: 0.1002 | Val Loss: 0.3252
Epoch 93 | Train Loss: 0.1071 | Val Loss: 0.3281
Epoch 94 | Train Loss: 0.0897 | Val Loss: 0.4178
Epoch 95 | Train Loss: 0.0861 | Val Loss: 0.3365
Epoch 96 | Train Loss: 0.1023 | Val Loss: 0.3655
Epoch 97 | Train Loss: 0.0977 | Val Loss: 0.3368
Epoch 98 | Train Loss: 0.0911 | Val Loss: 0.3566
Epoch 99 | Train Loss: 0.0993 | Val Loss: 0.3513
Epoch 100 | Train Loss: 0.0911 | Val Loss: 0.3654
💾 Checkpoint saved: Checkpoints/trim-sweep-4_epoch100.pt
Epoch 101 | Train Loss: 0.0884 | Val Loss: 0.4287
Epoch 102 | Train Loss: 0.1090 | Val Loss: 0.3278
Epoch 103 | Train Loss: 0.0912 | Val Loss: 0.3327
Epoch 104 | Train Loss: 0.0957 | Val Loss: 0.4430
Epoch 105 | Train Loss: 0.0899 | Val Loss: 0.3604
Epoch 106 | Train Loss: 0.0958 | Val Loss: 0.4407
Epoch 107 | Train Loss: 0.1038 | Val Loss: 0.3070
Epoch 108 | Train Loss: 0.0837 | Val Loss: 0.3669
Epoch 109 | Train Loss: 0.0804 | Val Loss: 0.3279
Epoch 110 | Train Loss: 0.0795 | Val Loss: 0.3207
💾 Checkpoint saved: Checkpoints/trim-sweep-4_epoch110.pt
Epoch 111 | Train Loss: 0.0795 | Val Loss: 0.2910
Epoch 112 | Train Loss: 0.0750 | Val Loss: 0.3294
Epoch 113 | Train Loss: 0.2744 | Val Loss: 0.4330
Epoch 114 | Train Loss: 0.2028 | Val Loss: 0.3048
Epoch 115 | Train Loss: 0.1296 | Val Loss: 0.3456
Epoch 116 | Train Loss: 0.0933 | Val Loss: 0.3643
Epoch 117 | Train Loss: 0.0995 | Val Loss: 0.3368
Epoch 118 | Train Loss: 0.0760 | Val Loss: 0.3704
Epoch 119 | Train Loss: 0.0864 | Val Loss: 0.3642
Epoch 120 | Train Loss: 0.1008 | Val Loss: 0.3086
💾 Checkpoint saved: Checkpoints/trim-sweep-4_epoch120.pt
Epoch 121 | Train Loss: 0.0836 | Val Loss: 0.3588
Epoch 122 | Train Loss: 0.0792 | Val Loss: 0.3527
Epoch 123 | Train Loss: 0.0763 | Val Loss: 0.3396
Epoch 124 | Train Loss: 0.0743 | Val Loss: 0.3900
Epoch 125 | Train Loss: 0.0749 | Val Loss: 0.4272
Epoch 126 | Train Loss: 0.0904 | Val Loss: 0.3354
Epoch 127 | Train Loss: 0.0728 | Val Loss: 0.3793
Epoch 128 | Train Loss: 0.0833 | Val Loss: 0.3654
Epoch 129 | Train Loss: 0.0602 | Val Loss: 0.3614
Epoch 130 | Train Loss: 0.0609 | Val Loss: 0.3820
💾 Checkpoint saved: Checkpoints/trim-sweep-4_epoch130.pt
Epoch 131 | Train Loss: 0.0736 | Val Loss: 0.4179
Epoch 132 | Train Loss: 0.0944 | Val Loss: 0.3446
Epoch 133 | Train Loss: 0.0819 | Val Loss: 0.3594
Epoch 134 | Train Loss: 0.0705 | Val Loss: 0.3522
Epoch 135 | Train Loss: 0.0731 | Val Loss: 0.4461
Epoch 136 | Train Loss: 0.0771 | Val Loss: 0.5006
Epoch 137 | Train Loss: 0.0689 | Val Loss: 0.3952
Epoch 138 | Train Loss: 0.0656 | Val Loss: 0.3392
Epoch 139 | Train Loss: 0.0726 | Val Loss: 0.4782
Epoch 140 | Train Loss: 0.0987 | Val Loss: 0.3699
💾 Checkpoint saved: Checkpoints/trim-sweep-4_epoch140.pt
Epoch 141 | Train Loss: 0.1154 | Val Loss: 0.4029
Epoch 142 | Train Loss: 0.1150 | Val Loss: 0.3234
Epoch 143 | Train Loss: 0.0903 | Val Loss: 0.3733
Epoch 144 | Train Loss: 0.0706 | Val Loss: 0.3871
Epoch 145 | Train Loss: 0.0698 | Val Loss: 0.3775
Epoch 146 | Train Loss: 0.1027 | Val Loss: 0.3117
Epoch 147 | Train Loss: 0.0720 | Val Loss: 0.3362
Epoch 148 | Train Loss: 0.0593 | Val Loss: 0.3992
Epoch 149 | Train Loss: 0.0746 | Val Loss: 0.3789
Epoch 150 | Train Loss: 0.0784 | Val Loss: 0.4049
💾 Checkpoint saved: Checkpoints/trim-sweep-4_epoch150.pt
Epoch 151 | Train Loss: 0.0735 | Val Loss: 0.3671
Epoch 152 | Train Loss: 0.0803 | Val Loss: 0.4123
Epoch 153 | Train Loss: 0.0788 | Val Loss: 0.4457
Epoch 154 | Train Loss: 0.0808 | Val Loss: 0.3489
Epoch 155 | Train Loss: 0.0715 | Val Loss: 0.4179
Epoch 156 | Train Loss: 0.0647 | Val Loss: 0.4110
Epoch 157 | Train Loss: 0.0666 | Val Loss: 0.4413
Epoch 158 | Train Loss: 0.0719 | Val Loss: 0.4339
Epoch 159 | Train Loss: 0.0830 | Val Loss: 0.4495
Epoch 160 | Train Loss: 0.0896 | Val Loss: 0.3510
💾 Checkpoint saved: Checkpoints/trim-sweep-4_epoch160.pt
Epoch 161 | Train Loss: 0.0826 | Val Loss: 0.3985
Epoch 162 | Train Loss: 0.0586 | Val Loss: 0.3894
Epoch 163 | Train Loss: 0.0461 | Val Loss: 0.3637
Epoch 164 | Train Loss: 0.0654 | Val Loss: 0.4000
Epoch 165 | Train Loss: 0.0660 | Val Loss: 0.4282
Epoch 166 | Train Loss: 0.0901 | Val Loss: 0.4365
Epoch 167 | Train Loss: 0.0958 | Val Loss: 0.4394
Epoch 168 | Train Loss: 0.0781 | Val Loss: 0.3438
Epoch 169 | Train Loss: 0.0563 | Val Loss: 0.3915
Epoch 170 | Train Loss: 0.0659 | Val Loss: 0.3607
💾 Checkpoint saved: Checkpoints/trim-sweep-4_epoch170.pt
Epoch 171 | Train Loss: 0.0643 | Val Loss: 0.4130
Epoch 172 | Train Loss: 0.0678 | Val Loss: 0.4003
Epoch 173 | Train Loss: 0.0938 | Val Loss: 0.4196
Epoch 174 | Train Loss: 0.0693 | Val Loss: 0.2897
Epoch 175 | Train Loss: 0.0633 | Val Loss: 0.3835
Epoch 176 | Train Loss: 0.0587 | Val Loss: 0.3658
Epoch 177 | Train Loss: 0.0670 | Val Loss: 0.4490
Epoch 178 | Train Loss: 0.0738 | Val Loss: 0.3737
Epoch 179 | Train Loss: 0.0661 | Val Loss: 0.3954
Epoch 180 | Train Loss: 0.0648 | Val Loss: 0.3693
💾 Checkpoint saved: Checkpoints/trim-sweep-4_epoch180.pt
Epoch 181 | Train Loss: 0.0926 | Val Loss: 0.3893
Epoch 182 | Train Loss: 0.1960 | Val Loss: 0.6115
