Epoch 28 | Train Loss: 0.3298 | Val Loss: 0.3803 | Val Acc: 84.21% | Sens: 0.88 | Spec: 0.80 | AUC: 0.93 | ✅ Correct: 448 | ❌ Incorrect: 84 | 📦 Total: 532
Epoch 29 | Train Loss: 0.3233 | Val Loss: 0.3750 | Val Acc: 85.34% | Sens: 0.89 | Spec: 0.82 | AUC: 0.93 | ✅ Correct: 454 | ❌ Incorrect: 78 | 📦 Total: 532
Epoch 30 | Train Loss: 0.3195 | Val Loss: 0.3728 | Val Acc: 85.15% | Sens: 0.87 | Spec: 0.83 | AUC: 0.93 | ✅ Correct: 453 | ❌ Incorrect: 79 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/earthy-sweep-96/checkpoint_epoch_030.pt
Epoch 31 | Train Loss: 0.3151 | Val Loss: 0.3639 | Val Acc: 86.09% | Sens: 0.85 | Spec: 0.87 | AUC: 0.93 | ✅ Correct: 458 | ❌ Incorrect: 74 | 📦 Total: 532
Epoch 32 | Train Loss: 0.3154 | Val Loss: 0.3616 | Val Acc: 85.34% | Sens: 0.80 | Spec: 0.90 | AUC: 0.93 | ✅ Correct: 454 | ❌ Incorrect: 78 | 📦 Total: 532
Epoch 33 | Train Loss: 0.3099 | Val Loss: 0.3593 | Val Acc: 85.15% | Sens: 0.80 | Spec: 0.90 | AUC: 0.93 | ✅ Correct: 453 | ❌ Incorrect: 79 | 📦 Total: 532
Epoch 34 | Train Loss: 0.3051 | Val Loss: 0.3655 | Val Acc: 85.53% | Sens: 0.78 | Spec: 0.93 | AUC: 0.94 | ✅ Correct: 455 | ❌ Incorrect: 77 | 📦 Total: 532
Epoch 35 | Train Loss: 0.3051 | Val Loss: 0.3706 | Val Acc: 86.09% | Sens: 0.91 | Spec: 0.82 | AUC: 0.94 | ✅ Correct: 458 | ❌ Incorrect: 74 | 📦 Total: 532
Epoch 36 | Train Loss: 0.2897 | Val Loss: 0.3694 | Val Acc: 85.34% | Sens: 0.77 | Spec: 0.93 | AUC: 0.94 | ✅ Correct: 454 | ❌ Incorrect: 78 | 📦 Total: 532
Epoch 37 | Train Loss: 0.2900 | Val Loss: 0.3565 | Val Acc: 86.84% | Sens: 0.87 | Spec: 0.86 | AUC: 0.94 | ✅ Correct: 462 | ❌ Incorrect: 70 | 📦 Total: 532
